step,train_acc
0,0.09375
100,0.828125
200,0.8671875
300,0.8515625
400,0.8984375
500,0.8828125
600,0.890625
700,0.8984375
800,0.8671875
900,0.859375
1000,0.8984375
1100,0.9140625
1200,0.8671875
1300,0.9375
1400,0.890625
1500,0.9453125
1600,0.9296875
1700,0.9375
1800,0.9375
1900,0.90625
2000,0.90625
2100,0.9296875
2200,0.9140625
2300,0.9296875
2400,0.890625
2500,0.9453125
2600,0.9375
2700,0.921875
2800,0.8828125
2900,0.90625
3000,0.921875
3100,0.9609375
3200,0.9375
3300,0.953125
3400,0.953125
3500,0.9765625
3600,0.9375
3700,0.953125
3800,0.921875
3900,0.953125
4000,0.9296875
4100,0.96875
4200,0.921875
4300,0.984375
4400,0.9765625
4500,0.96875
4600,0.9609375
4700,0.9765625
4800,0.9765625
4900,0.953125
5000,0.96875
5100,0.96875
5200,0.984375
5300,0.96875
5400,0.9609375
5500,0.9765625
5600,0.9375
5700,0.984375
5800,0.9921875
5900,0.9375
6000,0.984375
6100,0.984375
6200,0.984375
6300,0.984375
6400,0.9765625
6500,0.9921875
6600,0.9765625
6700,0.984375
6800,0.9921875
6900,0.9921875
7000,1.0
7100,0.984375
7200,0.9921875
7300,0.96875
7400,1.0
7500,0.9765625
7600,0.9921875
7700,0.96875
7800,0.9921875
7900,0.984375
8000,0.9921875
8100,0.9921875
8200,1.0
8300,0.9921875
8400,1.0
8500,1.0
8600,0.9921875
8700,0.9921875
8800,1.0
8900,0.96875
9000,1.0
9100,0.9921875
9200,0.9921875
9300,0.9921875
9400,0.984375
9500,1.0
9600,1.0
9700,1.0
9800,1.0
9900,1.0
10000,0.9921875
10100,1.0
10200,1.0
10300,0.9921875
10400,1.0
10500,0.984375
10600,1.0
10700,0.984375
10800,1.0
10900,0.9921875
11000,1.0
11100,0.9921875
11200,1.0
11300,1.0
11400,0.9921875
11500,0.9921875
11600,0.9921875
11700,1.0
11800,0.9921875
11900,1.0
12000,1.0
12100,1.0
12200,1.0
12300,0.9921875
12400,1.0
12500,0.9921875
12600,1.0
12700,1.0
12800,1.0
12900,1.0
13000,1.0
13100,1.0
13200,1.0
13300,1.0
13400,1.0
13500,0.9921875
13600,1.0
13700,1.0
13800,0.9921875
13900,1.0
14000,1.0
14100,1.0
14200,1.0
14300,1.0
14400,0.9921875
14500,0.984375
14600,0.9921875
14700,1.0
14800,1.0
14900,0.9921875
15000,1.0
15100,1.0
15200,1.0
15300,1.0
15400,1.0
15500,0.9921875
15600,1.0
15700,1.0
15800,1.0
15900,1.0
16000,1.0
16100,1.0
16200,0.9921875
16300,1.0
16400,1.0
16500,1.0
16600,1.0
16700,1.0
16800,1.0
16900,0.9921875
17000,1.0
17100,1.0
17200,1.0
17300,1.0
17400,0.9921875
17500,0.9921875
17600,1.0
17700,1.0
17800,1.0
17900,1.0
18000,1.0
18100,1.0
18200,1.0
18300,1.0
18400,1.0
18500,1.0
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,1.0
19400,1.0
19500,1.0
19600,1.0
19700,1.0
19800,1.0
19900,1.0
20000,0.9921875
20100,1.0
20200,1.0
20300,1.0
20400,1.0
20500,0.9921875
20600,1.0
20700,1.0
20800,1.0
20900,1.0
21000,0.9921875
21100,1.0
21200,1.0
21300,1.0
21400,1.0
