step,loss
0,0.65002507
100,0.1916617
200,0.16432448
300,0.13563609
400,0.12614757
500,0.1136375
600,0.108258486
700,0.07983608
800,0.11900516
900,0.08225505
1000,0.088124596
1100,0.07923084
1200,0.09982986
1300,0.095314965
1400,0.07293833
1500,0.056656543
1600,0.06746879
1700,0.07338426
1800,0.071944736
1900,0.076557145
2000,0.07073866
2100,0.05416459
2200,0.052692115
2300,0.07749115
2400,0.07096743
2500,0.06023041
2600,0.043916993
2700,0.049555633
2800,0.066419914
2900,0.057930876
3000,0.07619912
3100,0.061280314
3200,0.04266555
3300,0.071702644
3400,0.051161982
3500,0.06993661
3600,0.06290017
3700,0.05855402
3800,0.048102356
3900,0.062481355
4000,0.05269667
4100,0.03442832
4200,0.052489094
4300,0.047471397
4400,0.046183925
4500,0.034069628
4600,0.036959916
4700,0.036293484
4800,0.039296865
4900,0.03371189
5000,0.047100622
5100,0.053686492
5200,0.035794046
5300,0.046938483
5400,0.04250326
5500,0.04288345
5600,0.05109749
5700,0.03798935
5800,0.056983303
5900,0.03481478
6000,0.03224288
6100,0.030397218
6200,0.034475554
6300,0.04511957
6400,0.030511178
6500,0.024820516
6600,0.028693778
6700,0.032372724
6800,0.03444729
6900,0.025651652
7000,0.02359707
7100,0.02424676
7200,0.02594591
7300,0.01682213
7400,0.023156026
7500,0.031892918
7600,0.022910865
7700,0.02693652
7800,0.0145011395
7900,0.034916997
8000,0.028161045
8100,0.03283124
8200,0.025381038
8300,0.016850665
8400,0.021779157
8500,0.022422645
8600,0.023797337
8700,0.018492192
8800,0.014544052
8900,0.023836493
9000,0.023785593
9100,0.018104354
9200,0.014405792
9300,0.018091947
9400,0.018011142
9500,0.01670573
9600,0.010671139
9700,0.017675402
9800,0.0095013045
9900,0.016821073
10000,0.017262813
10100,0.031616945
10200,0.016441543
10300,0.013685553
10400,0.008555751
10500,0.016069675
10600,0.012751412
10700,0.02103813
10800,0.013592148
10900,0.023633262
11000,0.016847141
11100,0.01101831
11200,0.012497212
11300,0.021037232
11400,0.01102663
11500,0.01990395
11600,0.0184745
11700,0.015205702
11800,0.01074465
11900,0.008958108
12000,0.0141710825
12100,0.011882496
12200,0.009108948
12300,0.011253541
12400,0.016111158
12500,0.015224971
12600,0.009307287
12700,0.0173538
12800,0.011584541
12900,0.017769817
13000,0.012475086
13100,0.009219936
13200,0.020831663
13300,0.018747289
13400,0.009697333
13500,0.013930419
13600,0.010079309
13700,0.012198456
13800,0.01029887
13900,0.00918641
14000,0.011635894
14100,0.008390453
14200,0.016181398
14300,0.011647071
14400,0.00833111
14500,0.012713602
14600,0.015880192
14700,0.014530038
14800,0.009327177
14900,0.015244825
15000,0.016229514
15100,0.009063143
15200,0.011687983
15300,0.016026013
15400,0.011671592
15500,0.011654418
15600,0.008794235
15700,0.008420804
15800,0.015774041
15900,0.008364627
16000,0.0062884702
16100,0.009606968
16200,0.010370307
16300,0.0075964425
16400,0.011471324
16500,0.007964686
16600,0.009225158
16700,0.012940218
16800,0.014129365
16900,0.00881638
17000,0.01743896
17100,0.012719527
17200,0.009235119
17300,0.0071002785
17400,0.00959494
17500,0.015143681
17600,0.010513835
17700,0.0063907346
17800,0.011124751
17900,0.012088276
18000,0.010954121
18100,0.0085053295
18200,0.012946187
18300,0.012695463
18400,0.011371732
18500,0.010498479
18600,0.006747459
18700,0.010058865
18800,0.0114582945
18900,0.008408873
19000,0.008065416
19100,0.007829739
19200,0.009085335
19300,0.011035444
19400,0.0070389183
19500,0.00755038
19600,0.013523508
19700,0.016512353
19800,0.014281623
19900,0.009852304
20000,0.0116401715
20100,0.008470977
20200,0.011123023
20300,0.008454024
20400,0.0070453268
20500,0.010270187
20600,0.006422003
20700,0.006851173
20800,0.0049226666
20900,0.009475401
21000,0.009671031
21100,0.009910857
21200,0.007226453
21300,0.019754564
21400,0.019101406
