step,loss
0,0.70337033
100,0.19038177
200,0.13699624
300,0.16221967
400,0.12743105
500,0.11416725
600,0.1161966
700,0.11475182
800,0.113189496
900,0.09297094
1000,0.09618799
1100,0.09837458
1200,0.11552945
1300,0.09831921
1400,0.10007032
1500,0.116329625
1600,0.08867182
1700,0.09276472
1800,0.08125409
1900,0.0901053
2000,0.07937313
2100,0.086917
2200,0.09628335
2300,0.06646547
2400,0.06829487
2500,0.07355787
2600,0.07805497
2700,0.07614763
2800,0.08428876
2900,0.080265865
3000,0.06766615
3100,0.050588224
3200,0.06809188
3300,0.067366906
3400,0.07304615
3500,0.056585472
3600,0.06103851
3700,0.057734676
3800,0.06110096
3900,0.065196015
4000,0.06437925
4100,0.057982847
4200,0.04435141
4300,0.05767046
4400,0.052907348
4500,0.048156
4600,0.055387255
4700,0.044929057
4800,0.058026433
4900,0.048018258
5000,0.051413797
5100,0.054665267
5200,0.041476667
5300,0.041808635
5400,0.05103062
5500,0.051538233
5600,0.043923132
5700,0.04395261
5800,0.048517153
5900,0.041818358
6000,0.057060815
6100,0.050399315
6200,0.039512247
6300,0.055882398
6400,0.047846317
6500,0.024895545
6600,0.031317882
6700,0.037542343
6800,0.03874249
6900,0.03558454
7000,0.037203148
7100,0.03547646
7200,0.023671081
7300,0.03262495
7400,0.04492277
7500,0.037632458
7600,0.04998324
7700,0.028691541
7800,0.03810502
7900,0.027291205
8000,0.03293801
8100,0.027711205
8200,0.027818676
8300,0.028078739
8400,0.02864453
8500,0.03994906
8600,0.025959618
8700,0.031755492
8800,0.031136865
8900,0.034271613
9000,0.026481954
9100,0.017785404
9200,0.021400742
9300,0.03387576
9400,0.030669086
9500,0.021737223
9600,0.025471814
9700,0.024170715
9800,0.025152553
9900,0.018889284
10000,0.026831755
10100,0.022958234
10200,0.023812838
10300,0.028291248
10400,0.016908936
10500,0.017700028
10600,0.026416108
10700,0.032066945
10800,0.022465874
10900,0.014782963
11000,0.023047179
11100,0.019771945
11200,0.022987586
11300,0.021229511
11400,0.026694186
11500,0.02521766
11600,0.019900218
11700,0.022016486
11800,0.02065831
11900,0.017905477
12000,0.015722044
12100,0.01978885
12200,0.012877479
12300,0.020014927
12400,0.030586433
12500,0.014011554
12600,0.018554289
12700,0.022566985
12800,0.020639095
12900,0.017352212
13000,0.017282482
13100,0.012966653
13200,0.017310344
13300,0.015101008
13400,0.012782762
13500,0.016144918
13600,0.012965839
13700,0.018925004
13800,0.01566048
13900,0.014338063
14000,0.019507136
14100,0.014011271
14200,0.015396981
14300,0.018295228
14400,0.014008105
14500,0.015254585
14600,0.016547604
14700,0.01632533
14800,0.01478793
14900,0.013217913
15000,0.016137885
15100,0.013353719
15200,0.012106565
15300,0.012186575
15400,0.012454657
15500,0.0196468
15600,0.013807081
15700,0.014448641
15800,0.01628202
15900,0.013466005
16000,0.011416099
16100,0.013353746
16200,0.013333335
16300,0.016945321
16400,0.020738889
16500,0.012798509
16600,0.011896548
16700,0.011199482
16800,0.010783722
16900,0.011239028
17000,0.011231008
17100,0.015559371
17200,0.009894386
17300,0.015729718
17400,0.013881561
17500,0.010251246
17600,0.015393726
17700,0.011198247
17800,0.011050971
17900,0.011515462
18000,0.013132307
18100,0.010826536
18200,0.011406035
18300,0.01901598
18400,0.016697401
18500,0.017205596
18600,0.011670605
18700,0.0168605
18800,0.012910449
18900,0.016613953
19000,0.009989332
19100,0.00984925
19200,0.0140510425
19300,0.013168471
19400,0.015572978
19500,0.009476691
19600,0.011264097
19700,0.010681618
19800,0.012110746
19900,0.0111268405
20000,0.010934398
20100,0.012508301
20200,0.010166169
20300,0.016255612
20400,0.021295596
20500,0.021492954
20600,0.012655342
20700,0.018371888
20800,0.010776522
20900,0.011531185
21000,0.011024117
21100,0.008214727
21200,0.008238806
21300,0.00856504
21400,0.011957517
